Category,Technique,Description
Interstellar Dreamscapes,Lunar Eclipse Rays,Sharp beams of cosmic light emanating from an eclipse silhouette
Destructive,Charcoal Smudge,"Dark, smudged charcoal strokes giving a rough break-in feel"
Obscure & Avant-Garde,Zero Gravity Blossoms,"Flowers seemingly floating upward, ignoring standard orientation"
Folk Art Revival,Hand-Painted Wooden Planks,Rows of wooden boards bearing folk motifs as a rustic frame
Gritty Noir,Trenchcoat Figure Outline,A ghostly silhouette of a detective’s coat collar turned up at corners
Obscure & Avant-Garde,Inkblot Test Portal,Symmetrical inkblot shapes that resemble Rorschach patterns
Natural Framing,Flowering Shrub Portal,Selecting shrub openings brimming with blooms to spotlight the subject
Art Brut Chaos,Found Object Paste,Random bits of trash or found objects collaged around the border
Neo Symbolic,Shield of Chakras,Seven chakra disks arranged in a protective ring
Speculative Plastics,Shrink-Wrap Silhouette,Tight plastic wrap outlines cling to the corners as if sealed
Obscure & Avant-Garde,Seaside Glass Cliff,Abstract shards reminiscent of sea glass stacked in a cliff-like shape
Biomorphic Patterns,Petal Helix,Spiraling flower petals forming a helical border
Neo Symbolic,Sigil of Rebirth,An abstract phoenix symbol repeated in stylized corners
Arcane Runes,Ancient Alchemical Circle,Intricate circles dotted with cryptic symbols forming a ritual perimeter
Abstract,Gradient Frame,Using color gradients as subtle frames
Tapestry Style,Rustic Barnwood,Weathered wood frame for organic feel
Ancient Algorithm,Stone Binary,Binary digits chiseled onto stone blocks forming a perimeter
Zen Minimalism,Paper Screen Silhouette,Subtle shadow squares reminiscent of shōji screens
Mandala Worlds,Layered Chakras,Nested chakra-like orbs in concentric rings
Experimental Expression,Ink Lattice Growth,Ink lines that branch out and interweave spontaneously
8-Bit Style,Character Select Box,Using game UI-style selection boxes as frames
High-Tech Minimal,Transparent HUD Icons,Faint futuristic interface icons gently framing the center
Human Elements,Crowd Frame,Using people groups as natural frames
Ethereal Ruins,Time-Frozen Ivy,"Ivy creeping across ruined walls, locked in a perpetual hush"
Vaporwave Essence,Grid Horizon Band,Retro 80s neon grid lines forming a central band near the bottom or top
SteamPunk Gears,Mechanical Wing Span,Extended metal wings with ornate gear joints flanking the sides
Cyber Tribal,Pulsing LED Warpaint,Glowing lines akin to face paint around the border
Human Elements,Fingers Crossed Overlay,Layered fingers crossing to form an intricate crisscross border
High-Tech Minimal,Thin LED Strips,"Subtle, linear LED lights glowing along the perimeter"
Psychological,Temporal Shift,Time-based frame transformations
Surreal Puppetry,Marionette Crossbars,Horizontal crossbars with dangling strings framing the subject
Color Surreality,Neon Ink Pools,"Bright, inky puddles of neon swirling at the corners"
Retro-Futurism,Wireframe City Loop,A cityscape drawn in wireframe at the lower border curving upward
Retro-Futurism,Grid Floor Horizon,A Tron-like grid receding into the distance at the bottom
Composite,Ripped Painting Layers,Simulating torn edges of multiple painted canvases
Obscure & Avant-Garde,Sandstorm Fade,A gradient of swirling sand particles overtaking the corners
High-Tech Minimal,Narrow Circuit Lines,Delicate circuit traces branching in from the edges
Aqueous Vision,Reef Vertex,Coral fans and sea sponges arranged in a dynamic vertex pattern
Obscure & Avant-Garde,Wireframe Blossom Field,Flowers made of digital wire outlines fading into the background
Fragmented Realities,Split Cube Layers,Multiple layers of a cube dissected and sliding apart
Cyber Tribal,Tribal Mask Overlays,Layered stylized masks stacked in a repeating pattern
Luminescent Physics,Nanotube Fractal,Repeating carbon tube shapes glowing with embedded light
Psychological,Optical Illusion,Using perspective tricks in frame design
Eco-Conscious,Seedling Sprout Frame,"Small plant shoots popping up at corners, suggesting regeneration"
Obscure & Avant-Garde,Coral Brain Crest,Undulating coral-like shapes with labyrinthine crevices
Obscure & Avant-Garde,Bone Chapel Ornament,Elaborate borders formed from intricately arranged faux bones
Myth-Punk Fusion,Piston Cyclops Eye,"One giant, mechanical eye with pistons around the center"
Surreal Horizons,Ethereal Dusk Fade,Subtle gradient where day dissolves into night along the boundary
Dreamlike Collisions,Watercolor Wisps,Swashes of gentle watercolor that drift off into nothingness
Retro-Futurism,80s Gradient Sun,"A massive, stylized sun with stripes, perched behind the subject"
Mythic Realism,Dragon Spine Border,Scaled ridges weaving along the edges like the spine of a mythical beast
Anime Fusion,Mecha Armor Trim,Robotic plating and tech details forming a protective shell
Obscure & Avant-Garde,Shattered Origami,Crisp folded shapes bursting apart into shards at the periphery
Myth-Punk Fusion,Clockwork Unicorn Horn,A metallic spiral horn with clock gears around its base
Luminous Color Symphony,Spectral Bleed Edge,Colors from image bleeding outward into frame at decreasing saturation
Luminous Color Symphony,Chromatic Echo Chamber,Frame colors echo main palette at 30% saturation
Luminous Color Symphony,Light Frequency Border,Thin bands of pure spectrum wavelengths
Luminous Color Symphony,Color Temperature Gradient,Frame shifts from warm to cool matching image flow
Luminous Color Symphony,Prismatic Shatter Corner,Just corners break into rainbow refraction
Luminous Color Symphony,Neon Surf Crest,Wave-shaped rainbow band riding the bottom rim
Luminous Color Symphony,Aurora Foam Fringe,Soft multi-hued mist dissolving along edges
Luminous Color Symphony,Chromatic Spray Arc,High-saturation splash sweeping over corner
Luminous Color Symphony,Lens-Flare Ripple,Concentric light rings fading from focal point
Luminous Color Symphony,Iridescent Oil Slick,Thin petroleum rainbow sheen on borders
Atmospheric Depth Drama,Fog Bank Intrusion,Mist creeping in from edges with varying density
Atmospheric Depth Drama,Weather Scarring,Frame shows environmental damage matching mood
Atmospheric Depth Drama,Impasto Echo Ridge,Frame texture matches painting's brushwork weight
Atmospheric Depth Drama,Chiaroscuro Cutoff,Hard light/shadow edge defining frame boundary
Atmospheric Depth Drama,Atmospheric Pressure Band,Air density changes visible at borders
Atmospheric Depth Drama,Patina Drip Trail,Vertical streaks suggesting aged surfaces
Atmospheric Depth Drama,Verdigris Crackle Web,Green oxidation patterns spreading from corners
Atmospheric Depth Drama,Rust-Leaf Gild,Oxidised foliage hugging outer rim
Atmospheric Depth Drama,Ember-Edge Fade,Warm glow dissipating from base
Atmospheric Depth Drama,Storm Front Border,Dark clouds gathering at frame edges
Crystalline Precision,Laser Cut Precision,Impossibly clean geometric edge cuts
Crystalline Precision,Holographic Shift Band,Viewing angle changes frame appearance
Crystalline Precision,Crystal Growth Edge,Frame appears to be crystallizing
Crystalline Precision,Mathematical Spiral,Fibonacci/golden ratio visible in frame
Crystalline Precision,Quantum Interference Pattern,Wave interference patterns at edges
Crystalline Precision,Mirror Fade Dissolve,Perfect reflection gradually vanishing
Crystalline Precision,Data Rain Sweep,Vertical code columns at frame sides
Crystalline Precision,Voxel Ghost Echo,Pixelated afterimages repeating outward
Crystalline Precision,Circuit Board Trim,Technological patterns etched in border
Crystalline Precision,Fractal Zoom Border,Infinitely detailed edge patterns
Organic Flow Magic,Living Edge Crawl,Frame appears to be growing/moving
Organic Flow Magic,Seasonal Shift Border,Frame shows time passage through seasons
Organic Flow Magic,Mycelial Network Edge,Connecting threads visible in frame
Organic Flow Magic,Pollen Drift Halo,Particles floating off frame edges
Organic Flow Magic,Tidal Breathing Edge,Frame expands/contracts visually
Organic Flow Magic,Root-Spiral Pavilion,Root systems spiraling from corners
Organic Flow Magic,Kelp-Shadow Gradient,Underwater plant shadows swaying
Organic Flow Magic,Petal Flake Fringe,Flower petals scattered along edges
Organic Flow Magic,Wind-Petal Rotor,Spiraling petals suggesting movement
Organic Flow Magic,Moss Creep Softening,Organic growth softening hard edges
Narrative Maximalism,Chapter Break Marks,Visual paragraph indents in frame
Narrative Maximalism,Marginalia Whispers,Tiny stories written in frame margins
Narrative Maximalism,Timeline Ticker,Historical progression visible in border
Narrative Maximalism,Easter Egg Border,Hidden symbols and references
Narrative Maximalism,Story Thread Weave,Narrative lines connecting through frame
Narrative Maximalism,Corrupted Timestamp,Glitching time markers along border
Narrative Maximalism,Echo Slash Shadow,Repeated action marks in frame
Narrative Maximalism,Rotating Panels,Multiple viewpoints in frame sections
Narrative Maximalism,Hand Drawn Vistas,Meta-narrative of creation visible
Narrative Maximalism,Memory Fragment Edge,Torn photo/document edges suggesting past
Universal Winners,Velvet Nightfall Grain,Deep matte texture for bright images
Universal Winners,Shadow Petal Sheen,Subtle highlight grazing frame interior
Universal Winners,Smoke Tendril Vignette,Soft smoke ribbons curling inward
Universal Winners,Negative Space Halo,Pure breathing room around subject
Universal Winners,Subtle Glow Rim,Barely visible light outline
Competition Strategy,90/10 Balance Frame,Frame takes exactly 10% visual weight
Competition Strategy,Completion Signal,"Professional finish indicating ""done"""
Competition Strategy,Echo Single Element,Frame echoes ONE aspect only
Competition Strategy,Breathing Room Border,5-15% negative space guaranteed
Competition Strategy,Subtlety Gradient,Frame complexity inverse to image complexity
Gritty Noir,Cigarette Smoke Frame,Wispy plumes of smoke swirling heavily around the perimeter
Embodied Dreams,Hand Drawn Vistas,Dreamy sceneries literally drawn by giant hands holding pencils
Folk Art Revival,Wheat Sheaf Corners,"Dry wheat bundles tied at each corner, symbolizing harvest"
Polyptych,Rotating Panels,Multiple panels with varied orientations
Rust & Patina,Oxidized Halo,Corroded metal ring with verdigris bloom
Rust & Patina,Patina Drip Trail,Vertical green-blue streaks bleeding into canvas
Rust & Patina,Ash-Rose Contrast,Warm rose flakes against cold rust flakes
Rust & Patina,Sulphur Spark Edge,Tiny yellow-gold pockmarks flickering on border
Rust & Patina,Verdant Crackle,Leaf-shaped cracks revealing copper underlayer
Oxidised Reverie,Rust-Leaf Gild,Oxidised leaf gilding hugging the outer rim
Oxidised Reverie,Pitted Mirror Fade,Weathered mirror texture dissolving outward
Oxidised Reverie,Corten Halo Strip,Rust-orange band encircling top arc
Oxidised Reverie,Verdigris Crackle Web,Subtle green crackle pattern in corners
Oxidised Reverie,Patina Drip Trail,Faint vertical drips suggesting aged metal
Oxidised Verdigris,Copper-Sea Bloom,Turquoise blooms lapping inner border
Oxidised Verdigris,Malachite Fringe,Fuzzy malachite edge softening corners
Oxidised Verdigris,Blue-Green Flake,Speckled verdigris chips dotting frame
Oxidised Verdigris,Kintsugi Oxide Line,Thin gold repair lines crossing patina bands
Oxidised Verdigris,Saltspray Fade,Pale salt crystals dusting lower rim
Corten Horizon,Weather-Steel Bracket,Angular corten plates at each corner
Corten Horizon,Ember-Edge Fade,Soft ember gradient rising from base
Corten Horizon,Scale Rust Grain,Coarse rust texture rippling along sides
Corten Horizon,Sunset Oxide Veil,Thin warm glow just inside outer rim
Corten Horizon,Char Oxide Speck,Sooty flecks peppering the top border
Oxide Botanica,Rust-Pollen Tassel,Tiny rust dots clustering like pollen
Oxide Botanica,Floral Drip Lattice,Delicate drip patterns forming vine mesh
Oxide Botanica,Leaf-Tarnish Shadow,Oxidised leaf silhouettes ghosting corners
Oxide Botanica,Seed-Patina Burst,Small seed-shaped rust blooms at mid-edges
Oxide Botanica,Petal Flake Fringe,Irregular flaked edges echoing petals
Corrosion Dream,Liquid Metal Vein,Oil-slick ribbons threading inner frame
Corrosion Dream,Prism Rust Mist,Soft rainbow haze bleeding from rust bands
Corrosion Dream,Frost Oxide Crack,Chilled blue fissures through patina fields
Corrosion Dream,Vapor-Dust Curl,Evaporation swirls ghosting along border
Corrosion Dream,Spectrum Oxide Rain,Fine vertical streaks shifting color
Lotus Apex,Shadow Petal Sheen,Petal-shaped highlights grazing the frame interior
Lotus Apex,Smoke Tendril Vignette,Soft smoke ribbons curling inward on all sides
Lotus Apex,Velvet Nightfall Grain,Deep matte texture giving plush nocturnal backdrop
Glitch Murmuration,Corrupted Timestamp,Flickering numerals drifting along border path
Glitch Murmuration,Laser-Fuchsia Trace,Hot-pink streak clipping diagonal corners
Glitch Murmuration,Data Rainfall Sweep,Vertical code-rain shading inner edge
Glitch Murmuration,Voxel Ghost Echo,Pixelated after-images repeating outward
Glitch Murmuration,Noise-Gate Shadow,Binary static biting into frame silhouette
Solar Halo Pastures,Sun-Halo Lattice,Radiating gold lattice forming airy crown around image
Solar Halo Pastures,Wind-Petal Rotor,Spiralling petal vanes on side borders
Solar Halo Pastures,Root-Spiral Pavilion,Root ridges spiralling from lower corners
Solar Halo Pastures,Chlorophyll Circuit Vein,Fine PCB-like chlorophyll tracery outlining frame
Solar Halo Pastures,Lumen Seedlights,Miniature seed-LED dots scattered along top band
Obsidian Lotus Apex,Lotus Bloom Ember,Red-hot lotus crests anchoring each corner
Obsidian Lotus Apex,Midnight Mirror Trim,Glossy black reflections around inner rim
Obsidian Lotus Apex,Thorn-Ink Fringe,Sharp barbs jutting intermittently toward center
Obsidian Lotus Apex,Smoke Tendril Curl,Grey smoke coils licking inward between corners
Obsidian Lotus Apex,Velvet Night Grain,Plush matte texture softening the entire backdrop
Root & Reef,Kelp-Shadow Gradient,Soft vertical fade resembling kelp sway
Root & Reef,Melt-Drip Ghost,Semi-transparent drips freezing mid-air
Bloom & Blade,Silk-Ash Fallout,Ghostly silk fibers mingling with ash particles
Bloom & Blade,Echo Slash Shadow,Repeated diagonal gashes casting long shadows
Verdigris Stellar,Oxide Halo Arc,Crescent of glowing verdigris framing the upper edge
Verdigris Stellar,Malachite Dust Veil,Fine green patina speckles drifting inward from corners
Verdigris Stellar,Kintsugi Star Crack,Hair-thin gold fissures radiating out like constellations
Verdigris Stellar,Patina Drip Border,Vertical turquoise drips marking side margins
Verdigris Stellar,Antique Filigree Trace,Delicate bronze scrollwork hugging the inner frame
Prism Tide,Neon Surf Crest,Wave-shaped rainbow band riding the bottom rim
Prism Tide,Aurora Foam Fringe,Soft multi-hued mist dissolving along left edge
Prism Tide,Coral Rust Splatter,Orange-red oxide flecks sprayed diagonally across corners
Prism Tide,Chromatic Spray Arc,High-saturation splash sweeping over top-right quadrant
Prism Tide,Lens-Flare Ripple,Concentric light rings fading from a single corner source
Glitch Petal,Corrupted Timestamp Strip,Flickering numeric glyphs stitched along bottom border
Glitch Petal,Pixel Bloom Burst,Cluster of 8-bit floral pixels exploding off one edge
Glitch Petal,Data Rain Sweep,Vertical code-rain columns descending at frame sides
Glitch Petal,Voxel Ghost Halo,Semi-transparent cubes echoing the main form at margins
Glitch Petal,CRT Phosphor Smear,Horizontal colour-bleed streak near top border
Ember Corten,Magma Vein Edge,Red-orange molten cracks tracing the frame interior
Ember Corten,Charcoal Fade Band,Deep gradient bar grounding the piece at the base
Ember Corten,Spark Ash Drift,Tiny ember particles drifting upward from lower corners
Ember Corten,Steel Scale Grain,Coarse rust-scale texture mottling the side borders
Ember Corten,Smelt Glow Rim,Subtle incandescent outline hugging the silhouette
Aether Nocturne,Star-Dust Scatter,Sparse golden specks floating in the negative space
Aether Nocturne,Lunar Crescent Clip,Thin silver arc partially intruding from upper-left
Aether Nocturne,Nebula Wisp Curtain,Feathered nebular haze draped on right side
Aether Nocturne,Shadow Void Pocket,Pure matte zone occupying 10% background for breathing room
Aether Nocturne,Comet Tail Streak,Soft diagonal light streak guiding eye toward focal point
